  proc-sys-fs-binfmt_misc.automount                                                         loaded active running   Arbitrary Executable File Formats File System Automount Point
  acpid.path                                                                                loaded active running   ACPI Events Check
  cups.path                                                                                 loaded active running   CUPS Scheduler
  init.scope                                                                                loaded active running   System and Service Manager
  session-2.scope                                                                           loaded active running   Session 2 of User jpitarch
  accounts-daemon.service                                                                   loaded active running   Accounts Service
  acpid.service                                                                             loaded active running   ACPI event daemon
  anacron.service                                                                           loaded active running   Run anacron jobs
  avahi-daemon.service                                                                      loaded active running   Avahi mDNS/DNS-SD Stack
  colord.service                                                                            loaded active running   Manage, Install and Generate Color Profiles
  containerd.service                                                                        loaded active running   containerd container runtime
  cron.service                                                                              loaded active running   Regular background program processing daemon
  cups-browsed.service                                                                      loaded active running   Make remote CUPS printers available locally
  cups.service                                                                              loaded active running   CUPS Scheduler
  dbus.service                                                                              loaded active running   D-Bus System Message Bus
  docker.service                                                                            loaded active running   Docker Application Container Engine
  gdm.service                                                                               loaded active running   GNOME Display Manager
  kerneloops.service                                                                        loaded active running   Tool to automatically collect and submit kernel crash signatures
  ModemManager.service                                                                      loaded active running   Modem Manager
  networkd-dispatcher.service                                                               loaded active running   Dispatcher daemon for systemd-networkd
  NetworkManager.service                                                                    loaded active running   Network Manager
  packagekit.service                                                                        loaded active running   PackageKit Daemon
  polkit.service                                                                            loaded active running   Authorization Manager
  power-profiles-daemon.service                                                             loaded active running   Power Profiles daemon
  rsyslog.service                                                                           loaded active running   System Logging Service
  rtkit-daemon.service                                                                      loaded active running   RealtimeKit Scheduling Policy Service
  snapd.service                                                                             loaded active running   Snap Daemon
  switcheroo-control.service                                                                loaded active running   Switcheroo Control Proxy service
  systemd-journald.service                                                                  loaded active running   Journal Service
  systemd-logind.service                                                                    loaded active running   User Login Management
  systemd-oomd.service                                                                      loaded active running   Userspace Out-Of-Memory (OOM) Killer
  systemd-resolved.service                                                                  loaded active running   Network Name Resolution
  systemd-udevd.service                                                                     loaded active running   Rule-based Manager for Device Events and Files
  udisks2.service                                                                           loaded active running   Disk Manager
  unattended-upgrades.service                                                               loaded active running   Unattended Upgrades Shutdown
  upower.service                                                                            loaded active running   Daemon for power management
  user@1000.service                                                                         loaded active running   User Manager for UID 1000
  vboxadd-service.service                                                                   loaded active running   vboxadd-service.service
  wpa_supplicant.service                                                                    loaded active running   WPA supplicant
  acpid.socket                                                                              loaded active running   ACPID Listen Socket
  avahi-daemon.socket                                                                       loaded active running   Avahi mDNS/DNS-SD Stack Activation Socket
  cups.socket                                                                               loaded active running   CUPS Scheduler
  dbus.socket                                                                               loaded active running   D-Bus System Message Bus Socket
  docker.socket                                                                             loaded active running   Docker Socket for the API
  snapd.socket                                                                              loaded active running   Socket activation for snappy daemon
  syslog.socket                                                                             loaded active running   Syslog Socket
  systemd-journald-audit.socket                                                             loaded active running   Journal Audit Socket
  systemd-journald-dev-log.socket                                                           loaded active running   Journal Socket (/dev/log)
  systemd-journald.socket                                                                   loaded active running   Journal Socket
  systemd-udevd-control.socket                                                              loaded active running   udev Control Socket
  systemd-udevd-kernel.socket                                                               loaded active running   udev Kernel Socket
  anacron.timer                                                                             loaded active running   Trigger anacron every hour
  ua-timer.timer                                                                            loaded active waiting   Ubuntu Advantage Timer for running repeated jobs
